date,areaName,areaCode,newCasesByPublishDate
2021-03-15,Northern Ireland,N92000002,121
2021-03-14,Northern Ireland,N92000002,143
2021-03-13,Northern Ireland,N92000002,146
2021-03-12,Northern Ireland,N92000002,208
2021-03-11,Northern Ireland,N92000002,223
2021-03-10,Northern Ireland,N92000002,147
2021-03-09,Northern Ireland,N92000002,240
2021-03-08,Northern Ireland,N92000002,144
2021-03-07,Northern Ireland,N92000002,138
2021-03-06,Northern Ireland,N92000002,172
2021-03-05,Northern Ireland,N92000002,166
2021-03-04,Northern Ireland,N92000002,163
2021-03-03,Northern Ireland,N92000002,226
2021-03-02,Northern Ireland,N92000002,149
2021-03-01,Northern Ireland,N92000002,138
2021-02-28,Northern Ireland,N92000002,136
2021-02-27,Northern Ireland,N92000002,184
2021-02-26,Northern Ireland,N92000002,241
2021-02-25,Northern Ireland,N92000002,281
2021-02-24,Northern Ireland,N92000002,260
2021-02-23,Northern Ireland,N92000002,225
2021-02-22,Northern Ireland,N92000002,187
2021-02-21,Northern Ireland,N92000002,263
2021-02-20,Northern Ireland,N92000002,276
2021-02-19,Northern Ireland,N92000002,313
2021-02-18,Northern Ireland,N92000002,342
2021-02-17,Northern Ireland,N92000002,297
2021-02-16,Northern Ireland,N92000002,341
2021-02-15,Northern Ireland,N92000002,234
2021-02-14,Northern Ireland,N92000002,176
2021-02-13,Northern Ireland,N92000002,303
2021-02-12,Northern Ireland,N92000002,407
2021-02-11,Northern Ireland,N92000002,253
2021-02-10,Northern Ireland,N92000002,336
2021-02-09,Northern Ireland,N92000002,275
2021-02-08,Northern Ireland,N92000002,296
2021-02-07,Northern Ireland,N92000002,334
2021-02-06,Northern Ireland,N92000002,390
2021-02-05,Northern Ireland,N92000002,506
2021-02-04,Northern Ireland,N92000002,412
2021-02-03,Northern Ireland,N92000002,504
2021-02-02,Northern Ireland,N92000002,447
2021-02-01,Northern Ireland,N92000002,314
2021-01-31,Northern Ireland,N92000002,426
2021-01-30,Northern Ireland,N92000002,455
2021-01-29,Northern Ireland,N92000002,669
2021-01-28,Northern Ireland,N92000002,592
2021-01-27,Northern Ireland,N92000002,527
2021-01-26,Northern Ireland,N92000002,550
2021-01-25,Northern Ireland,N92000002,422
2021-01-24,Northern Ireland,N92000002,433
2021-01-23,Northern Ireland,N92000002,670
2021-01-22,Northern Ireland,N92000002,865
2021-01-21,Northern Ireland,N92000002,732
2021-01-20,Northern Ireland,N92000002,905
2021-01-19,Northern Ireland,N92000002,713
2021-01-18,Northern Ireland,N92000002,640
2021-01-17,Northern Ireland,N92000002,822
2021-01-16,Northern Ireland,N92000002,705
2021-01-15,Northern Ireland,N92000002,1052
2021-01-14,Northern Ireland,N92000002,973
2021-01-13,Northern Ireland,N92000002,1145
2021-01-12,Northern Ireland,N92000002,1205
2021-01-11,Northern Ireland,N92000002,759
2021-01-10,Northern Ireland,N92000002,1112
2021-01-09,Northern Ireland,N92000002,1442
2021-01-08,Northern Ireland,N92000002,1500
2021-01-07,Northern Ireland,N92000002,1410
2021-01-06,Northern Ireland,N92000002,1985
2021-01-05,Northern Ireland,N92000002,1378
2021-01-04,Northern Ireland,N92000002,1801
2021-01-03,Northern Ireland,N92000002,1662
2021-01-02,Northern Ireland,N92000002,3576
2021-01-01,Northern Ireland,N92000002,0
2020-12-31,Northern Ireland,N92000002,1929
2020-12-30,Northern Ireland,N92000002,2143
2020-12-29,Northern Ireland,N92000002,1566
2020-12-28,Northern Ireland,N92000002,1634
2020-12-27,Northern Ireland,N92000002,0
2020-12-26,Northern Ireland,N92000002,998
2020-12-25,Northern Ireland,N92000002,0
2020-12-24,Northern Ireland,N92000002,841
2020-12-23,Northern Ireland,N92000002,787
2020-12-22,Northern Ireland,N92000002,439
2020-12-21,Northern Ireland,N92000002,555
2020-12-20,Northern Ireland,N92000002,505
2020-12-19,Northern Ireland,N92000002,640
2020-12-18,Northern Ireland,N92000002,510
2020-12-17,Northern Ireland,N92000002,656
2020-12-16,Northern Ireland,N92000002,510
2020-12-15,Northern Ireland,N92000002,486
2020-12-14,Northern Ireland,N92000002,419
2020-12-13,Northern Ireland,N92000002,483
2020-12-12,Northern Ireland,N92000002,476
2020-12-11,Northern Ireland,N92000002,538
2020-12-10,Northern Ireland,N92000002,441
2020-12-09,Northern Ireland,N92000002,483
2020-12-08,Northern Ireland,N92000002,351
2020-12-07,Northern Ireland,N92000002,397
2020-12-06,Northern Ireland,N92000002,419
2020-12-05,Northern Ireland,N92000002,451
2020-12-04,Northern Ireland,N92000002,449
2020-12-03,Northern Ireland,N92000002,456
2020-12-02,Northern Ireland,N92000002,416
2020-12-01,Northern Ireland,N92000002,391
2020-11-30,Northern Ireland,N92000002,290
2020-11-29,Northern Ireland,N92000002,351
2020-11-28,Northern Ireland,N92000002,315
2020-11-27,Northern Ireland,N92000002,391
2020-11-26,Northern Ireland,N92000002,442
2020-11-25,Northern Ireland,N92000002,533
2020-11-24,Northern Ireland,N92000002,79
2020-11-23,Northern Ireland,N92000002,280
2020-11-22,Northern Ireland,N92000002,342
2020-11-21,Northern Ireland,N92000002,357
2020-11-20,Northern Ireland,N92000002,369
2020-11-19,Northern Ireland,N92000002,487
2020-11-18,Northern Ireland,N92000002,518
2020-11-17,Northern Ireland,N92000002,549
2020-11-16,Northern Ireland,N92000002,331
2020-11-15,Northern Ireland,N92000002,472
2020-11-14,Northern Ireland,N92000002,511
2020-11-13,Northern Ireland,N92000002,607
2020-11-12,Northern Ireland,N92000002,548
2020-11-11,Northern Ireland,N92000002,791
2020-11-10,Northern Ireland,N92000002,514
2020-11-09,Northern Ireland,N92000002,471
2020-11-08,Northern Ireland,N92000002,420
2020-11-07,Northern Ireland,N92000002,528
2020-11-06,Northern Ireland,N92000002,595
2020-11-05,Northern Ireland,N92000002,516
2020-11-04,Northern Ireland,N92000002,679
2020-11-03,Northern Ireland,N92000002,570
2020-11-02,Northern Ireland,N92000002,493
2020-11-01,Northern Ireland,N92000002,685
2020-10-31,Northern Ireland,N92000002,649
2020-10-30,Northern Ireland,N92000002,566
2020-10-29,Northern Ireland,N92000002,822
2020-10-28,Northern Ireland,N92000002,840
2020-10-27,Northern Ireland,N92000002,722
2020-10-26,Northern Ireland,N92000002,727
2020-10-25,Northern Ireland,N92000002,896
2020-10-24,Northern Ireland,N92000002,923
2020-10-23,Northern Ireland,N92000002,1252
2020-10-22,Northern Ireland,N92000002,1042
2020-10-21,Northern Ireland,N92000002,1039
2020-10-20,Northern Ireland,N92000002,913
2020-10-19,Northern Ireland,N92000002,820
2020-10-18,Northern Ireland,N92000002,1012
2020-10-17,Northern Ireland,N92000002,1031
2020-10-16,Northern Ireland,N92000002,1299
2020-10-15,Northern Ireland,N92000002,763
2020-10-14,Northern Ireland,N92000002,1217
2020-10-13,Northern Ireland,N92000002,863
2020-10-12,Northern Ireland,N92000002,877
2020-10-11,Northern Ireland,N92000002,1066
2020-10-10,Northern Ireland,N92000002,902
2020-10-09,Northern Ireland,N92000002,1080
2020-10-08,Northern Ireland,N92000002,923
2020-10-07,Northern Ireland,N92000002,828
2020-10-06,Northern Ireland,N92000002,669
2020-10-05,Northern Ireland,N92000002,616
2020-10-04,Northern Ireland,N92000002,462
2020-10-03,Northern Ireland,N92000002,726
2020-10-02,Northern Ireland,N92000002,934
2020-10-01,Northern Ireland,N92000002,259
2020-09-30,Northern Ireland,N92000002,424
2020-09-29,Northern Ireland,N92000002,320
2020-09-28,Northern Ireland,N92000002,220
2020-09-27,Northern Ireland,N92000002,187
2020-09-26,Northern Ireland,N92000002,319
2020-09-25,Northern Ireland,N92000002,273
2020-09-24,Northern Ireland,N92000002,189
2020-09-23,Northern Ireland,N92000002,220
2020-09-22,Northern Ireland,N92000002,75
2020-09-21,Northern Ireland,N92000002,125
2020-09-20,Northern Ireland,N92000002,176
2020-09-19,Northern Ireland,N92000002,222
2020-09-18,Northern Ireland,N92000002,163
2020-09-17,Northern Ireland,N92000002,149
2020-09-16,Northern Ireland,N92000002,129
2020-09-15,Northern Ireland,N92000002,79
2020-09-14,Northern Ireland,N92000002,109
2020-09-13,Northern Ireland,N92000002,87
2020-09-12,Northern Ireland,N92000002,104
2020-09-11,Northern Ireland,N92000002,88
2020-09-10,Northern Ireland,N92000002,78
2020-09-09,Northern Ireland,N92000002,49
2020-09-08,Northern Ireland,N92000002,40
2020-09-07,Northern Ireland,N92000002,141
2020-09-06,Northern Ireland,N92000002,106
2020-09-05,Northern Ireland,N92000002,118
2020-09-04,Northern Ireland,N92000002,61
2020-09-03,Northern Ireland,N92000002,77
2020-09-02,Northern Ireland,N92000002,71
2020-09-01,Northern Ireland,N92000002,49
2020-08-31,Northern Ireland,N92000002,58
2020-08-30,Northern Ireland,N92000002,49
2020-08-29,Northern Ireland,N92000002,89
2020-08-28,Northern Ireland,N92000002,85
2020-08-27,Northern Ireland,N92000002,69
2020-08-26,Northern Ireland,N92000002,72
2020-08-25,Northern Ireland,N92000002,47
2020-08-24,Northern Ireland,N92000002,10
2020-08-23,Northern Ireland,N92000002,119
2020-08-22,Northern Ireland,N92000002,71
2020-08-21,Northern Ireland,N92000002,20
2020-08-20,Northern Ireland,N92000002,51
2020-08-19,Northern Ireland,N92000002,34
2020-08-18,Northern Ireland,N92000002,41
2020-08-17,Northern Ireland,N92000002,39
2020-08-16,Northern Ireland,N92000002,27
2020-08-15,Northern Ireland,N92000002,65
2020-08-14,Northern Ireland,N92000002,74
2020-08-13,Northern Ireland,N92000002,8
2020-08-12,Northern Ireland,N92000002,29
2020-08-11,Northern Ireland,N92000002,48
2020-08-10,Northern Ireland,N92000002,0
2020-08-09,Northern Ireland,N92000002,0
2020-08-08,Northern Ireland,N92000002,0
2020-08-07,Northern Ireland,N92000002,15
2020-08-06,Northern Ireland,N92000002,43
2020-08-05,Northern Ireland,N92000002,10
2020-08-04,Northern Ireland,N92000002,8
2020-08-03,Northern Ireland,N92000002,0
2020-08-02,Northern Ireland,N92000002,0
2020-08-01,Northern Ireland,N92000002,0
2020-07-31,Northern Ireland,N92000002,10
2020-07-30,Northern Ireland,N92000002,8
2020-07-29,Northern Ireland,N92000002,9
2020-07-28,Northern Ireland,N92000002,9
2020-07-27,Northern Ireland,N92000002,0
2020-07-26,Northern Ireland,N92000002,0
2020-07-25,Northern Ireland,N92000002,0
2020-07-24,Northern Ireland,N92000002,15
2020-07-23,Northern Ireland,N92000002,8
2020-07-22,Northern Ireland,N92000002,9
2020-07-21,Northern Ireland,N92000002,2
2020-07-20,Northern Ireland,N92000002,0
2020-07-19,Northern Ireland,N92000002,0
2020-07-18,Northern Ireland,N92000002,0
2020-07-17,Northern Ireland,N92000002,19
2020-07-16,Northern Ireland,N92000002,16
2020-07-15,Northern Ireland,N92000002,9
2020-07-14,Northern Ireland,N92000002,2
2020-07-13,Northern Ireland,N92000002,0
2020-07-12,Northern Ireland,N92000002,0
2020-07-11,Northern Ireland,N92000002,0
2020-07-10,Northern Ireland,N92000002,4
2020-07-09,Northern Ireland,N92000002,3
2020-07-08,Northern Ireland,N92000002,4
2020-07-07,Northern Ireland,N92000002,5
2020-07-06,Northern Ireland,N92000002,0
2020-07-05,Northern Ireland,N92000002,0
2020-07-04,Northern Ireland,N92000002,0
2020-07-03,Northern Ireland,N92000002,4
2020-07-02,Northern Ireland,N92000002,7
2020-07-01,Northern Ireland,N92000002,1
2020-06-30,Northern Ireland,N92000002,3
2020-06-29,Northern Ireland,N92000002,6
2020-06-28,Northern Ireland,N92000002,1
2020-06-27,Northern Ireland,N92000002,2
2020-06-26,Northern Ireland,N92000002,4
2020-06-25,Northern Ireland,N92000002,1
2020-06-24,Northern Ireland,N92000002,2
2020-06-23,Northern Ireland,N92000002,0
2020-06-22,Northern Ireland,N92000002,1
2020-06-21,Northern Ireland,N92000002,4
2020-06-20,Northern Ireland,N92000002,0
2020-06-19,Northern Ireland,N92000002,3
2020-06-18,Northern Ireland,N92000002,1
2020-06-17,Northern Ireland,N92000002,8
2020-06-16,Northern Ireland,N92000002,2
2020-06-15,Northern Ireland,N92000002,4
2020-06-14,Northern Ireland,N92000002,7
2020-06-13,Northern Ireland,N92000002,3
2020-06-12,Northern Ireland,N92000002,16
2020-06-11,Northern Ireland,N92000002,4
2020-06-10,Northern Ireland,N92000002,13
2020-06-09,Northern Ireland,N92000002,3
2020-06-08,Northern Ireland,N92000002,6
2020-06-07,Northern Ireland,N92000002,6
2020-06-06,Northern Ireland,N92000002,14
2020-06-05,Northern Ireland,N92000002,3
2020-06-04,Northern Ireland,N92000002,33
2020-06-03,Northern Ireland,N92000002,8
2020-06-02,Northern Ireland,N92000002,4
2020-06-01,Northern Ireland,N92000002,12
2020-05-31,Northern Ireland,N92000002,7
2020-05-30,Northern Ireland,N92000002,13
2020-05-29,Northern Ireland,N92000002,17
2020-05-28,Northern Ireland,N92000002,16
2020-05-27,Northern Ireland,N92000002,26
2020-05-26,Northern Ireland,N92000002,28
2020-05-25,Northern Ireland,N92000002,39
2020-05-24,Northern Ireland,N92000002,25
2020-05-23,Northern Ireland,N92000002,41
2020-05-22,Northern Ireland,N92000002,23
2020-05-21,Northern Ireland,N92000002,42
2020-05-20,Northern Ireland,N92000002,18
2020-05-19,Northern Ireland,N92000002,20
2020-05-18,Northern Ireland,N92000002,16
2020-05-17,Northern Ireland,N92000002,28
2020-05-16,Northern Ireland,N92000002,40
2020-05-15,Northern Ireland,N92000002,26
2020-05-14,Northern Ireland,N92000002,38
2020-05-13,Northern Ireland,N92000002,60
2020-05-12,Northern Ireland,N92000002,44
2020-05-11,Northern Ireland,N92000002,30
2020-05-10,Northern Ireland,N92000002,41
2020-05-09,Northern Ireland,N92000002,56
2020-05-08,Northern Ireland,N92000002,38
2020-05-07,Northern Ireland,N92000002,50
2020-05-06,Northern Ireland,N92000002,53
2020-05-05,Northern Ireland,N92000002,45
2020-05-04,Northern Ireland,N92000002,69
2020-05-03,Northern Ireland,N92000002,78
2020-05-02,Northern Ireland,N92000002,66
2020-05-01,Northern Ireland,N92000002,87
2020-04-30,Northern Ireland,N92000002,73
2020-04-29,Northern Ireland,N92000002,55
2020-04-28,Northern Ireland,N92000002,34
2020-04-27,Northern Ireland,N92000002,66
2020-04-26,Northern Ireland,N92000002,82
2020-04-25,Northern Ireland,N92000002,104
2020-04-24,Northern Ireland,N92000002,106
2020-04-23,Northern Ireland,N92000002,142
2020-04-22,Northern Ireland,N92000002,116
2020-04-21,Northern Ireland,N92000002,30
2020-04-20,Northern Ireland,N92000002,83
2020-04-19,Northern Ireland,N92000002,159
2020-04-18,Northern Ireland,N92000002,148
2020-04-17,Northern Ireland,N92000002,137
2020-04-16,Northern Ireland,N92000002,113
2020-04-15,Northern Ireland,N92000002,121
2020-04-14,Northern Ireland,N92000002,85
2020-04-13,Northern Ireland,N92000002,76
2020-04-12,Northern Ireland,N92000002,89
2020-04-11,Northern Ireland,N92000002,128
2020-04-10,Northern Ireland,N92000002,112
2020-04-09,Northern Ireland,N92000002,138
2020-04-08,Northern Ireland,N92000002,84
2020-04-07,Northern Ireland,N92000002,97
2020-04-06,Northern Ireland,N92000002,69
2020-04-05,Northern Ireland,N92000002,91
2020-04-04,Northern Ireland,N92000002,94
2020-04-03,Northern Ireland,N92000002,130
2020-04-02,Northern Ireland,N92000002,85
2020-04-01,Northern Ireland,N92000002,103
2020-03-31,Northern Ireland,N92000002,53
2020-03-30,Northern Ireland,N92000002,123
2020-03-29,Northern Ireland,N92000002,86
2020-03-28,Northern Ireland,N92000002,49
2020-03-27,Northern Ireland,N92000002,34
2020-03-26,Northern Ireland,N92000002,32
2020-03-25,Northern Ireland,N92000002,37
2020-03-24,Northern Ireland,N92000002,24
2020-03-23,Northern Ireland,N92000002,20
2020-03-22,Northern Ireland,N92000002,20
2020-03-21,Northern Ireland,N92000002,22
2020-03-20,Northern Ireland,N92000002,9
2020-03-19,Northern Ireland,N92000002,9
2020-03-18,Northern Ireland,N92000002,6
2020-03-17,Northern Ireland,N92000002,10
2020-03-16,Northern Ireland,N92000002,7
2020-03-15,Northern Ireland,N92000002,11
2020-03-14,Northern Ireland,N92000002,5
2020-03-13,Northern Ireland,N92000002,10
2020-03-12,Northern Ireland,N92000002,1
2020-03-11,Northern Ireland,N92000002,2
2020-03-10,Northern Ireland,N92000002,0
2020-03-09,Northern Ireland,N92000002,3
2020-03-08,Northern Ireland,N92000002,5
2020-03-07,Northern Ireland,N92000002,2
2020-03-06,Northern Ireland,N92000002,2

