Week,COVID: (Ireland)
05/01/2020,0
12/01/2020,0
19/01/2020,0
26/01/2020,0
02/02/2020,0
09/02/2020,0
16/02/2020,0
23/02/2020,2
01/03/2020,8
08/03/2020,29
15/03/2020,50
22/03/2020,57
29/03/2020,47
05/04/2020,37
12/04/2020,31
19/04/2020,27
26/04/2020,27
03/05/2020,24
10/05/2020,26
17/05/2020,23
24/05/2020,20
31/05/2020,20
07/06/2020,18
14/06/2020,16
21/06/2020,17
28/06/2020,22
05/07/2020,26
12/07/2020,25
19/07/2020,21
26/07/2020,22
02/08/2020,30
09/08/2020,31
16/08/2020,35
23/08/2020,26
30/08/2020,27
06/09/2020,28
13/09/2020,38
20/09/2020,34
27/09/2020,34
04/10/2020,47
11/10/2020,46
18/10/2020,41
25/10/2020,22
01/11/2020,16
08/11/2020,17
15/11/2020,17
22/11/2020,16
29/11/2020,17
06/12/2020,17
13/12/2020,26
20/12/2020,44
27/12/2020,57
03/01/2021,65
10/01/2021,44
17/01/2021,34
24/01/2021,31
31/01/2021,23
07/02/2021,20
14/02/2021,22
21/02/2021,24
28/02/2021,19
07/03/2021,18
14/03/2021,18
21/03/2021,26
28/03/2021,26
04/04/2021,23
11/04/2021,26
18/04/2021,27
25/04/2021,31
02/05/2021,28
09/05/2021,26
16/05/2021,26
23/05/2021,25
30/05/2021,24
06/06/2021,19
13/06/2021,21
20/06/2021,26
27/06/2021,31
04/07/2021,31
11/07/2021,37
18/07/2021,39
25/07/2021,36
01/08/2021,31
08/08/2021,31
15/08/2021,29
22/08/2021,23
29/08/2021,27
05/09/2021,19
12/09/2021,20
19/09/2021,17
26/09/2021,15
03/10/2021,15
10/10/2021,18
17/10/2021,26
24/10/2021,23
31/10/2021,28
07/11/2021,32
14/11/2021,47
21/11/2021,46
28/11/2021,46
05/12/2021,34
12/12/2021,46
19/12/2021,64
26/12/2021,100
02/01/2022,74
09/01/2022,40
16/01/2022,34
23/01/2022,21
30/01/2022,19
06/02/2022,17
13/02/2022,16
20/02/2022,14
27/02/2022,14
06/03/2022,17