Category: All categories,
,
Day,COVID: (Ireland)
14/12/2021,37
15/12/2021,41
16/12/2021,46
17/12/2021,53
18/12/2021,46
19/12/2021,50
20/12/2021,49
21/12/2021,58
22/12/2021,64
23/12/2021,64
24/12/2021,60
25/12/2021,55
26/12/2021,70
27/12/2021,84
28/12/2021,88
29/12/2021,99
30/12/2021,100
31/12/2021,78
01/01/2022,72
02/01/2022,77
03/01/2022,78
04/01/2022,77
05/01/2022,68
06/01/2022,58
07/01/2022,48
08/01/2022,48
09/01/2022,41
10/01/2022,44
11/01/2022,38
12/01/2022,38
13/01/2022,32
14/01/2022,32
15/01/2022,24
16/01/2022,24
17/01/2022,31
18/01/2022,35
19/01/2022,30
20/01/2022,30
21/01/2022,37
22/01/2022,24
23/01/2022,25
24/01/2022,26
25/01/2022,21
26/01/2022,21
27/01/2022,20
28/01/2022,18
29/01/2022,19
30/01/2022,20
31/01/2022,23
01/02/2022,22
02/02/2022,22
03/02/2022,21
04/02/2022,17
05/02/2022,17
06/02/2022,18
07/02/2022,19
08/02/2022,20
09/02/2022,19
10/02/2022,18
11/02/2022,16
12/02/2022,14
13/02/2022,17
14/02/2022,18
15/02/2022,19
16/02/2022,17
17/02/2022,16
18/02/2022,15
19/02/2022,14
20/02/2022,15
21/02/2022,15
22/02/2022,18
23/02/2022,16
24/02/2022,14
25/02/2022,12
26/02/2022,12
27/02/2022,14
28/02/2022,16
01/03/2022,14
02/03/2022,16
03/03/2022,15
04/03/2022,14
05/03/2022,14
06/03/2022,19
07/03/2022,18
08/03/2022,18
09/03/2022,17
10/03/2022,19
11/03/2022,19
12/03/2022,0